timestamp,servidor,cenario,execucao,Falhas,Requisicoes_Bem_Sucedidas,Tempo_Medio,Tempo_Total,Throughput
2025-10-24 22:53:54,concorrente,GET - /,1,0,500,7.648905277252197,0.3972189426422119,1258751.6513540654
2025-10-24 22:53:54,concorrente,GET - /,2,0,500,5.503060817718506,0.2819983959197998,1773059.730957476
2025-10-24 22:53:54,concorrente,GET - /,3,0,500,5.3520588874816895,0.2756640911102295,1813801.7105755915
2025-10-24 22:53:54,concorrente,GET - /,4,0,500,5.263248920440674,0.27240586280822754,1835496.4714984775
2025-10-24 22:53:54,concorrente,GET - /,5,0,500,5.858635902404785,0.3023097515106201,1653932.7544068159
2025-10-24 22:53:54,concorrente,GET - /,6,0,500,5.3011932373046875,0.2749156951904297,1818739.3762791827
2025-10-24 22:53:54,concorrente,GET - /,7,0,500,5.286630153656006,0.2721903324127197,1836949.8856478655
2025-10-24 22:53:54,concorrente,GET - /,8,0,500,5.183777332305908,0.26856112480163574,1861773.5547887257
2025-10-24 22:53:54,concorrente,GET - /,9,0,500,5.503898620605469,0.2842583656311035,1758963.1843900606
2025-10-24 22:53:54,concorrente,GET - /,10,0,500,5.284487724304199,0.27362537384033203,1827315.9136614422
2025-10-24 22:53:54,concorrente,GET - /,11,0,500,5.309884071350098,0.27636265754699707,1809216.934147379
2025-10-24 22:53:54,concorrente,GET - /,12,0,500,5.6460771560668945,0.2896728515625,1726085.124315213
2025-10-24 22:53:54,concorrente,GET - /,13,0,500,5.659848213195801,0.2931976318359375,1705334.3741868332
2025-10-24 22:53:54,concorrente,GET - /,14,0,500,5.289032459259033,0.27512025833129883,1817387.0693226152
2025-10-24 22:53:54,concorrente,GET - /,15,0,500,5.169886112213135,0.2687981128692627,1860132.1068172404
2025-10-24 22:53:54,concorrente,GET - /,16,0,500,5.666424751281738,0.2926640510559082,1708443.514657986
2025-10-24 22:53:54,concorrente,GET - /,17,0,500,6.315035343170166,0.3252599239349365,1537232.1125550582
2025-10-24 22:53:54,concorrente,GET - /,18,0,500,5.721920013427734,0.29340529441833496,1704127.3948080293
2025-10-24 22:53:54,concorrente,GET - /,19,0,500,5.49123477935791,0.2831089496612549,1766104.535367954
2025-10-24 22:53:54,concorrente,GET - /,20,0,500,5.626793384552002,0.29210448265075684,1711716.2854286123
